"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop 20 - 24 years","Pop 25 - 29 years","Pop 30 - 34 years","Pop 35 - 39 years","Average Family Income"
"West Humber-Clairville",1.0,"N/A",2855.0,2755.0,2360.0,2175.0,72820.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",2400.0,2335.0,2355.0,2530.0,57411.0
"Thistletown-Beaumond Heights",3.0,"N/A",675.0,675.0,600.0,640.0,70838.0
"Rexdale-Kipling",4.0,"N/A",650.0,645.0,600.0,645.0,69367.0
"Elms-Old Rexdale",5.0,"N/A",655.0,570.0,595.0,600.0,61196.0
"Kingsview Village-The Westway",6.0,"N/A",1435.0,1385.0,1285.0,1415.0,68145.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1355.0,1235.0,1105.0,1190.0,79241.0
"Humber Heights-Westmount",8.0,"N/A",530.0,520.0,560.0,585.0,81267.0
"Edenbridge-Humber Valley",9.0,"N/A",960.0,915.0,745.0,825.0,119581.0
"Princess-Rosethorn",10.0,"N/A",800.0,430.0,370.0,460.0,144943.0
"Eringate-Centennial-West Deane",11.0,"N/A",1180.0,940.0,855.0,920.0,88741.0
"Markland Wood",12.0,"N/A",575.0,490.0,385.0,455.0,100337.0
"Etobicoke West Mall",13.0,"N/A",705.0,650.0,625.0,700.0,67704.0
"Islington-City Centre West",14.0,"N/A",2315.0,2935.0,3085.0,2835.0,87747.0
"Kingsway South",15.0,"N/A",485.0,305.0,340.0,505.0,191204.0
"Stonegate-Queensway",16.0,"N/A",1190.0,1270.0,1575.0,1865.0,100867.0
"Mimico",17.0,"N/A",1360.0,2095.0,2565.0,2355.0,87901.0
"New Toronto",18.0,"N/A",775.0,755.0,810.0,860.0,70398.0
"Long Branch",19.0,"N/A",650.0,630.0,660.0,725.0,77549.0
"Alderwood",20.0,"N/A",685.0,680.0,835.0,780.0,83584.0
"Humber Summit",21.0,"N/A",860.0,775.0,780.0,830.0,65757.0
